job_role,required_skills,job_description,job_full_text
accessibility specialist,"Web Accessibility Guidelines, HTML, CSS, JavaScript, User Experience Design",ensures digital products meet accessibility standards enhancing usability for all users.,"role: accessibility specialist [SEP] description: ensures digital products meet accessibility standards enhancing usability for all users. [SEP] skills: Web Accessibility Guidelines, HTML, CSS, JavaScript, User Experience Design"
admin big data,"Big Data Management, Hadoop, Spark, Data Warehousing, SQL",administers and manages large datasets ensuring data integrity and accessibility.,"role: admin big data [SEP] description: administers and manages large datasets ensuring data integrity and accessibility. [SEP] skills: Big Data Management, Hadoop, Spark, Data Warehousing, SQL"
agile project manager,"Agile Methodologies, Scrum, Kanban, Project Management Tools, Leadership",leads projects using agile frameworks focusing on iterative development and team collaboration.,"role: agile project manager [SEP] description: leads projects using agile frameworks focusing on iterative development and team collaboration. [SEP] skills: Agile Methodologies, Scrum, Kanban, Project Management Tools, Leadership"
android developer,"Java, Kotlin, Android SDK, Mobile App Development, UI/UX Design",develops mobile applications for android devices integrating features and ensuring user experience.,"role: android developer [SEP] description: develops mobile applications for android devices integrating features and ensuring user experience. [SEP] skills: Java, Kotlin, Android SDK, Mobile App Development, UI/UX Design"
ansible automation engineer,"Ansible, Automation Scripts, Linux, Networking, Cloud Computing",designs and implements automation solutions using ansible streamlining it processes.,"role: ansible automation engineer [SEP] description: designs and implements automation solutions using ansible streamlining it processes. [SEP] skills: Ansible, Automation Scripts, Linux, Networking, Cloud Computing"
application security engineer,"Security Protocols, Penetration Testing, Secure Coding Practices, Compliance",develops secure applications by integrating security measures and testing vulnerabilities.,"role: application security engineer [SEP] description: develops secure applications by integrating security measures and testing vulnerabilities. [SEP] skills: Security Protocols, Penetration Testing, Secure Coding Practices, Compliance"
artifactory administrator,"Artifactory, Repository Management, DevOps Tools, CI/CD Pipelines",manages artifact repositories ensuring efficient deployment and version control.,"role: artifactory administrator [SEP] description: manages artifact repositories ensuring efficient deployment and version control. [SEP] skills: Artifactory, Repository Management, DevOps Tools, CI/CD Pipelines"
artifactory engineer,"Artifactory, DevOps Practices, Continuous Integration, Software Packaging",configures and optimizes artifactory for efficient software deployment and management.,"role: artifactory engineer [SEP] description: configures and optimizes artifactory for efficient software deployment and management. [SEP] skills: Artifactory, DevOps Practices, Continuous Integration, Software Packaging"
artificial intelligence / machine learning leader,"AI/ML Frameworks, Leadership, Strategic Planning, Data Science",leads ai/ml projects developing strategies and overseeing teams to integrate ai solutions.,"role: artificial intelligence / machine learning leader [SEP] description: leads ai/ml projects developing strategies and overseeing teams to integrate ai solutions. [SEP] skills: AI/ML Frameworks, Leadership, Strategic Planning, Data Science"
artificial intelligence / machine learning sr.leader,"Advanced AI/ML, Leadership, Strategic Vision, Team Management",leads senior ai/ml projects sets strategic direction and manages teams.,"role: artificial intelligence / machine learning sr.leader [SEP] description: leads senior ai/ml projects sets strategic direction and manages teams. [SEP] skills: Advanced AI/ML, Leadership, Strategic Vision, Team Management"
